,screen_name,name,user_verification,followers_count,friends_count,listed_count,retweet_count,favorite_count,retweeted,entities,favourites_count,location,created_at,text
0,TOLHlthAdvocate,"R. Ruth Linden, PhD",False,272,602,10,0,0,False,"{'hashtags': [{'text': 'N95', 'indices': [98, 102]}, {'text': 'KN94', 'indices': [103, 108]}, {'text': 'KN95', 'indices': [109, 114]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/G3Wmzcwd2h', 'expanded_url': 'https://twitter.com/i/web/status/1354492488463962112', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",10337,San Francisco,Opinion | Everyone needs N95 masks now. But here are the best alternatives. - The Washington Post #N95 #KN94 #KN95… https://t.co/G3Wmzcwd2h,2021-01-27 18:12:29
1,Navin08506914,Navin,False,2,12,0,19,0,False,"{'hashtags': [{'text': 'Hindu', 'indices': [26, 32]}, {'text': 'Covid', 'indices': [53, 59]}, {'text': 'KingsburyMandir', 'indices': [91, 107]}], 'symbols': [], 'user_mentions': [{'screen_name': 'SGadiLondon', 'name': 'Swaminarayan Mandir', 'id': 402808707, 'id_str': '402808707', 'indices': [3, 15]}], 'urls': []}",45,,RT @SGadiLondon: First UK #Hindu temple to open as a #Covid vaccination centre tomorrow at #KingsburyMandir! Supporting 1300 vaccinations a…,2021-01-27 18:12:27
2,1stCAB1ID,1stCAB1ID,True,2015,164,40,0,0,False,"{'hashtags': [{'text': 'WellnessWednesday', 'indices': [0, 18]}, {'text': 'COVID', 'indices': [83, 89]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DHYFvhihtH', 'expanded_url': 'https://twitter.com/i/web/status/1354492476040622084', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",990,"Fort Riley, KS",#WellnessWednesday| Members of the Demon Brigade received their second dose of the #COVID-19 vaccination this morni… https://t.co/DHYFvhihtH,2021-01-27 18:12:26
3,Portman55,Steve Butcher,False,142,531,1,706,0,False,"{'hashtags': [{'text': 'Covid', 'indices': [70, 76]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Anna_Soubry', 'name': 'Anna Soubry', 'id': 326184301, 'id_str': '326184301', 'indices': [3, 15]}], 'urls': []}",7922,,"RT @Anna_Soubry: We mourn the deaths of more than 100,000 people from #Covid Thoughts with their families and friends. Many of those deaths…",2021-01-27 18:12:25
4,SDGsbot,SDGs,False,7511,10,76,2,0,False,"{'hashtags': [{'text': 'UNDP', 'indices': [128, 133]}], 'symbols': [], 'user_mentions': [{'screen_name': 'plopandrew', 'name': 'plopandrew', 'id': 922159518309584896, 'id_str': '922159518309584896', 'indices': [3, 14]}], 'urls': []}",41,Everywhere,RT @plopandrew: Job vacancy/ Gender and Disaster Risk Reduction Philippines Consultant at United Nations Development Programme (#UNDP) ( #U…,2021-01-27 18:12:24
